knowledge1,knowledge2
IP地址,互连网络
IP地址,协议数据单元
IP地址,报文交换
IP地址,数据
IP地址,数据传送
IP地址,服务器
IP地址,网络体系结构
IP地址,网络地址转换
IP地址,静态IP地址
NP难问题,停机问题
p值,预测误差
一元函数,阶乘
一致性,信标帧
一致性,分布式计算
一致性,密码算法
一致性,并行处理
一致性,路由信息协议
上升沿,解码器
下降方向,下降法
下降方向,下降算法
下降方向,共轭梯度法
下降方向,拟牛顿法
下降方向,最速下降法
下降方向,牛顿法
下降方向,误差逆传播算法
下降方向,随机梯度下降法
下降法,下降算法
下降算法,共轭梯度法
下降算法,拟牛顿法
下降算法,最速下降法
下降算法,牛顿法
下降算法,误差逆传播算法
下降算法,随机梯度下降法
不确定性推理,信息获取
不确定性推理,机器人
中位数,插值
中位数,预测误差
中断,中断处理
中断,中断机制
中断,中断源
中断,事件检测
中断,死锁预防
中断,进程间通信
中断处理,事件检测
中断处理,死锁预防
中断处理,进程间通信
中断机制,中断处理
中断机制,事件检测
中断机制,死锁预防
中断机制,进程间通信
中断源,中断处理
中断源,中断机制
中间件,基本输入输出系统
中间件,嵌入式系统
临界值,信噪比
临界值,失真
临界值,解码器
事件检测,停机问题
事件检测,进程间通信
二元运算,内积
二元运算,分布式计算
二元运算,并行处理
二元运算,数理逻辑
二元运算,计算密集型任务
二叉查找树,检索树
二叉树,B树
二叉树,中序遍历
二叉树,二叉查找树
二叉树,后序遍历
二叉树,完全二叉树
二叉树,层次遍历
二叉树,满二叉树
二路归并,快速排序
二进制,地址计算
二进制,布尔运算
二进制,异或门
二进制,循环移位
二进制,汇编语言
二进制,浮点数
二进制,编码器
互信息,互熵
互熵,损失函数
互熵,神经网络算法
互连网络,云计算
互连网络,单臂路由器
交互式学习,增强现实
交叉熵,不确定性推理
交叉熵,损失函数
交换律,数理逻辑
人工神经网络,主动学习
人工神经网络,交互式学习
人工神经网络,图像分类
人工神经网络,在线学习
人工神经网络,增量学习
人工神经网络,强化学习
人工神经网络,无监督学习
人工神经网络,深度学习
人工神经网络,理性智能体
人工神经网络,自组织神经网络
人工神经网络,自适应学习
人工神经网络,计算机视觉
以太网,交换式以太网
以太网,快速以太网
价值函数,强化学习
传输层,互连网络
传输层,以太网
传输层,因特网
传输层,广域网
传输层,数据网络
传输层,无线局域网
传递性,不等式
传递性,数学归纳法
传递性,继承
传递性,继承属性
传递性,链式法则
似然,似然函数
信号处理,信噪比
信号处理,信息隐蔽
信号处理,失真
信号处理,机器人
信号处理,解码器
信号处理,语音识别
信噪比,失真
信息获取,增强现实
信息获取,搜索引擎
信息获取,知识共享
信标帧,异步传输
信标帧,报文交换
信标帧,数据传送
信标帧,数据网络
信标帧,网络体系结构
信标帧,网络延时
信道容量,信息系统
信道容量,进程间通信
偏序,排序
停机问题,死锁预防
傅里叶变换,信号处理
傅里叶变换,卷积
傅里叶变换,图像处理
傅里叶变换,数字通信系统
傅里叶变换,模拟信号
傅里叶变换,解码器
元数据,自适应学习
先验分布,后验分布
先验概率,先验分布
先验概率,最优估计
先验概率,状态估计
先验概率,贝叶斯估计
先验概率,贝叶斯决策
先验概率,贝叶斯方法
内核,分布式操作系统
内核,多用户系统
内核,实时操作系统
内核,计算机系统
内部中断,中断源
冲突,事件检测
冲突,冲突检测
冲突,冲突避免
冲突,死锁预防
冲突检测,冲突避免
决策问题,动作函数
决策问题,强化学习
决策问题,状态估计
减法,等差数列
凸函数,凸二次规划
凸函数,凸规划
凸规划,凸二次规划
凸集,凸二次规划
凸集,凸函数
函数,下降算法
函数,价值函数
函数,仿射函数
函数,传递函数
函数,似然函数
函数,值域
函数,傅里叶变换
函数,共轭梯度法
函数,减函数
函数,凸二次规划
函数,凸函数
函数,动作函数
函数,势函数
函数,卷积
函数,双线性函数
函数,可测函数
函数,哈希函数
函数,基本函数
函数,对合
函数,对数函数
函数,局部极小值
函数,拉格朗日乘子法
函数,拟牛顿法
函数,损失函数
函数,插值
函数,数值分析
函数,最优解
函数,最速下降法
函数,极值点
函数,极大值
函数,极小化
函数,核函数
函数,梯度方向
函数,模拟退火算法
函数,激活函数
函数,牛顿法
函数,特征函数
函数,目标函数
函数,目标约束
函数,神经网络模型
函数,积分
函数,线性模型
函数,蒙特卡洛方法
函数,误差逆传播算法
函数,递推关系
函数,遗传算法
函数,链式法则
函数,随机梯度下降法
函数,非线性映射
函数,非线性模型
函数,预测误差
分区表,存储分配
分区表,数据组织
分区表,文件分配
分区表,活动分区
分区表,空间管理
分区表,虚拟化
分区表,虚拟存储管理
分布函数,t分布
分布函数,二项分布
分布函数,先验分布
分布函数,几何分布
分布函数,后验分布
分布函数,均匀分布
分布函数,最优估计
分布函数,最大后验
分布函数,条件分布
分布函数,样本分布
分布函数,联合分布
分布函数,逻辑斯谛分布
分布式计算,云计算
分数,比例
分治,快速排序
分类,分类器
分类,图像分类
分类,损失函数
分类,神经网络模型
分类器,人工神经网络
分类器,模型拟合
分类器,预测误差
划分,划分算法
划分,局部优化
初始化值,数组
初始化值,递归函数
初始化值,随机搜索
前馈网络,深度学习
前馈网络,计算机视觉
加密,数据加密
加密技术,入侵防御系统
加法结合律,数理逻辑
动作函数,强化学习
动态规划,网络流
动态规划,背包问题
协方差,主成分分析
协议数据单元,安全协议
协议数据单元,数据传送
协议数据单元,数据封装
协议数据单元,网络体系结构
单元测试,集成测试
单向函数,加密
单向函数,加密技术
单向函数,哈希函数
单向函数,密码学
单向函数,密码算法
单向函数,数据加密
单继承,多继承
即时通信,数字通信系统
即时通信,高级移动电话系统
卷积,人工神经网络
卷积,单向传递
卷积,图像分类
卷积,循环网络
卷积,智能体
卷积,模式识别
卷积,神经网络模型
卷积,自组织神经网络
卷积,计算机视觉
原子性,原子操作
原子性,命令接口
原子性,标准元
