,num_layers,embedding_dim,learning_rate,HR@10,NDCG@10,HR@20,NDCG@20
L4_D32_LR0.001,4,32,0.001,0.7067725662766985,0.5091325045266757,0.7941218561053272,0.5353235603249716
L3_D32_LR0.001,3,32,0.001,0.6949483023863189,0.5005060265177881,0.7801330900504454,0.5260227627280855
L4_D64_LR0.001,4,64,0.001,0.6768630818217595,0.4881087236174477,0.7654824514328646,0.514446677595356
L2_D32_LR0.001,2,32,0.001,0.6770598547458052,0.4853254827067011,0.7646774712890415,0.5114026590073932
L4_D128_LR0.001,4,128,0.001,0.6724446352545526,0.48166803549153625,0.7584880684054238,0.5071591214448951
L3_D64_LR0.001,3,64,0.001,0.6565060284068549,0.46975511140377174,0.7462881471145933,0.4962062063800057
L2_D64_LR0.001,2,64,0.001,0.6550033988050517,0.4668246744445874,0.7414761546992952,0.4925066540823995
L3_D128_LR0.001,3,128,0.001,0.6427498121712998,0.4581761500254747,0.7317090622875747,0.48425146456291707
L2_D128_LR0.001,2,128,0.001,0.6316589746341812,0.4451628468139983,0.7239633644592323,0.47207315826522167
L4_D32_LR0.005,4,32,0.005,0.6077957854817359,0.4160628266846147,0.7028013309005045,0.4434614409548883
L3_D32_LR0.005,3,32,0.005,0.5962577367536045,0.4070328214468766,0.6927122464312547,0.4345668792090364
L2_D32_LR0.005,2,32,0.005,0.5876533934385174,0.40148549694432945,0.6857178634038138,0.4295832512091327
L4_D32_LR0.01,4,32,0.01,0.5847196880254731,0.3860344698263145,0.6869163893957282,0.4149800141913521
L3_D32_LR0.01,3,32,0.01,0.5717505634861006,0.37577454744471445,0.6736968265893886,0.4048592532351217
L2_D32_LR0.01,2,32,0.01,0.572841758792172,0.3733996213996106,0.6858251940896569,0.40534765435493525
L4_D64_LR0.005,4,64,0.005,0.5217702407785052,0.33814378196197803,0.6231082966620156,0.3662135576929285
L3_D64_LR0.005,3,64,0.005,0.5085506779721656,0.32556154538049015,0.6102643912561267,0.3536936432475331
L2_D64_LR0.01,2,64,0.01,0.49475868484132945,0.3016889203821926,0.6081893313298272,0.3327335545146944
L3_D64_LR0.01,3,64,0.01,0.48402561625702123,0.29897575884581173,0.594218453722586,0.32873610199610553
L2_D64_LR0.005,2,64,0.005,0.4831848592179171,0.29861417926472966,0.5907838717756073,0.3281943993152591
L4_D64_LR0.01,4,64,0.01,0.47479517727451614,0.29689678082403503,0.5774927551787056,0.3248196414823984
L4_D128_LR0.005,4,128,0.005,0.46261314443132623,0.29293573967256364,0.5589066580802118,0.3190917474011429
L4_D128_LR0.01,4,128,0.01,0.4588565704268184,0.2767746406608907,0.5616078136739294,0.30424176719608886
L3_D128_LR0.01,3,128,0.01,0.43517226575077816,0.2569517086593426,0.5453293263210619,0.28628367181514297
L3_D128_LR0.005,3,128,0.005,0.41395656684912885,0.25205139531869086,0.5107688454795892,0.27775620185695993
L2_D128_LR0.005,2,128,0.005,0.41776680619655826,0.24842653054037633,0.5212335873492898,0.27591887161994766
L2_D128_LR0.01,2,128,0.01,0.428481986333226,0.24695143947771178,0.5343815963650674,0.27516683417155013
